State,CD#,2018 Cook PVI Score,2018 Winner,Party,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin,2016 Clinton Margin,Swing vs. 2016 Prez,2016 Total Votes Cast,Raw Votes vs. 2016 ,Final?
"New House Breakdown: 235D, 199R, 1 Denied Certification",,,,D,"60,727,598","50,983,895","1,967,161",53.4%,44.8%,1.7%,8.6%,2.1%,6.5%,"136,179,900",83.5%,
"Compiled by: David Wasserman & Ally Flinn, Cook Political Report. @Redistrict/@CookPolitical. Italics denotes freshman, Bold denotes party change.",,,,,,,,,,,,,,,,
Alabama,1,R+15,Bradley Byrne,R,"89,226","153,228",163,36.8%,63.2%,0.1%,-26.4%,-29.2%,2.8%,"305,780",79.3%,x
Alabama,2,R+16,Martha Roby,R,"86,931","138,879",420,38.4%,61.4%,0.2%,-23.0%,-31.7%,8.7%,"287,564",78.7%,x
Alabama,3,R+16,Mike Rogers,R,"83,996","147,770",149,36.2%,63.7%,0.1%,-27.5%,-33.0%,5.5%,"291,243",79.6%,x
Alabama,4,R+30,Robert Aderholt,R,"46,492","184,255",222,20.1%,79.8%,0.1%,-59.6%,-62.5%,2.9%,"292,861",78.9%,x
Alabama,5,R+18,Mo Brooks,R,"101,388","159,063",222,38.9%,61.0%,0.1%,-22.1%,-32.9%,10.8%,"314,679",82.8%,x
Alabama,6,R+26,Gary Palmer,R,"85,644","192,542",142,30.8%,69.2%,0.1%,-38.4%,-43.8%,5.4%,"335,943",82.8%,x
Alabama,7,D+20,Terri Sewell,D,"185,010",0,"4,153",97.8%,0.0%,2.2%,97.8%,41.2%,N/A,"294,433",64.2%,x
Alaska,AL,R+9,Don Young,R,"131,199","149,779","1,188",46.5%,53.1%,0.4%,-6.6%,-14.7%,8.1%,"318,608",88.6%,x
Arizona,1,R+2,Tom O'Halleran,D,"143,240","122,784",65,53.8%,46.1%,0.0%,7.7%,-1.1%,8.8%,"289,086",92.0%,x
Arizona,2,R+1,Ann Kirkpatrick,D,"161,000","133,083",69,54.7%,45.2%,0.0%,9.5%,4.8%,4.7%,"321,540",91.5%,x
Arizona,3,D+13,Raul Grijalva,D,"114,650","64,868",0,63.9%,36.1%,0.0%,27.7%,29.5%,-1.8%,"211,797",84.8%,x
Arizona,4,R+21,Paul Gosar,R,"84,521","188,842","3,672",30.5%,68.2%,1.3%,-37.7%,-39.4%,1.7%,"304,185",91.1%,x
Arizona,5,R+15,Andy Biggs,R,"127,027","186,037",0,40.6%,59.4%,0.0%,-18.8%,-20.5%,1.7%,"341,437",91.7%,x
Arizona,6,R+9,David Schweikert,R,"140,559","173,140",0,44.8%,55.2%,0.0%,-10.4%,-9.8%,-0.6%,"343,997",91.2%,x
Arizona,7,D+23,Ruben Gallego,D,"113,044",301,"18,706",85.6%,0.2%,14.2%,85.4%,48.3%,N/A,"167,183",79.0%,x
Arizona,8,R+13,Debbie Lesko,R,"135,569","168,835",13,44.5%,55.5%,0.0%,-10.9%,-20.8%,9.9%,"332,767",91.5%,x
Arizona,9,D+4,Greg Stanton,D,"159,583","101,662",0,61.1%,38.9%,0.0%,22.2%,15.9%,6.3%,"290,237",90.0%,x
Arkansas,1,R+17,Rick Crawford,R,"57,907","138,757","4,581",28.8%,68.9%,2.3%,-40.2%,-34.8%,-5.4%,"260,716",77.2%,x
Arkansas,2,R+7,French Hill,R,"116,135","132,125","5,193",45.8%,52.1%,2.0%,-6.3%,-10.7%,4.4%,"306,974",82.6%,x
Arkansas,3,R+19,Steve Womack,R,"74,952","148,717","6,039",32.6%,64.7%,2.6%,-32.1%,-31.4%,-0.7%,"292,163",78.6%,x
Arkansas,4,R+17,Bruce Westerman,R,"63,984","136,740","4,168",31.2%,66.7%,2.0%,-35.5%,-32.8%,-2.7%,"270,782",75.7%,x
California,1,R+11,Doug LaMalfa,R,"131,548","160,046",0,45.1%,54.9%,0.0%,-9.8%,-19.4%,9.6%,"318,397",91.6%,x
California,2,D+22,Jared Huffman,D,"243,081","72,576",0,77.0%,23.0%,0.0%,54.0%,45.2%,8.8%,"348,791",90.5%,x
California,3,D+5,John Garamendi,D,"134,875","97,376",0,58.1%,41.9%,0.0%,16.1%,12.5%,3.6%,"263,803",88.0%,x
California,4,R+10,Tom McClintock,R,"156,253","184,401",0,45.9%,54.1%,0.0%,-8.3%,-14.5%,6.2%,"360,284",94.6%,x
California,5,D+21,Mike Thompson,D,"205,860",0,"55,158",78.9%,0.0%,21.1%,78.9%,44.6%,N/A,"306,625",85.1%,x
California,6,D+21,Doris Matsui,D,"201,939",0,0,100.0%,0.0%,0.0%,100.0%,44.0%,N/A,"248,121",81.4%,x
California,7,D+3,Ami Bera,D,"155,016","126,601",0,55.0%,45.0%,0.0%,10.1%,11.2%,-1.1%,"309,549",91.0%,x
California,8,R+9,Paul Cook,R,0,"170,785",0,0.0%,100.0%,0.0%,-100.0%,-15.1%,N/A,"232,930",73.3%,x
California,9,D+8,Jerry McNerney,D,"113,414","87,349",0,56.5%,43.5%,0.0%,13.0%,18.2%,-5.2%,"243,453",82.5%,x
California,10,EVEN,Josh Harder,D,"115,945","105,955",0,52.3%,47.7%,0.0%,4.5%,3.0%,1.5%,"243,067",91.3%,x
California,11,D+21,Mark DeSaulnier,D,"204,369","71,312",0,74.1%,25.9%,0.0%,48.3%,47.6%,0.7%,"320,522",86.0%,x
California,12,D+37,Nancy Pelosi,D,"275,292","41,780",0,86.8%,13.2%,0.0%,73.6%,76.6%,-3.0%,"362,965",87.4%,x
California,13,D+40,Barbara Lee,D,"260,580",0,"34,257",88.4%,0.0%,11.6%,88.4%,79.3%,N/A,"339,391",86.9%,x
California,14,D+27,Jackie Speier,D,"211,384","55,439",0,79.2%,20.8%,0.0%,58.4%,58.6%,-0.2%,"298,322",89.4%,x
California,15,D+20,Eric Swalwell,D,"177,989","65,940",0,73.0%,27.0%,0.0%,45.9%,44.9%,1.0%,"289,926",84.1%,x
California,16,D+9,Jim Costa,D,"82,266","60,693",0,57.5%,42.5%,0.0%,15.1%,21.3%,-6.2%,"172,088",83.1%,x
California,17,D+25,Ro Khanna,D,"159,105","52,057",0,75.3%,24.7%,0.0%,50.7%,53.2%,-2.5%,"249,775",84.5%,x
California,18,D+23,Anna Eshoo,D,"225,142","77,096",0,74.5%,25.5%,0.0%,49.0%,53.2%,-4.2%,"335,138",90.2%,x
California,19,D+24,Zoe Lofgren,D,"162,496","57,823",0,73.8%,26.2%,0.0%,47.5%,51.4%,-3.9%,"257,624",85.5%,x
California,20,D+23,Jimmy Panetta,D,"183,677",0,"42,044",81.4%,0.0%,18.6%,81.4%,46.8%,N/A,"258,177",87.4%,x
California,21,D+5,T.J. Cox,D,"57,239","56,377",0,50.4%,49.6%,0.0%,0.8%,15.4%,-14.6%,"134,881",84.2%,x
California,22,R+8,Devin Nunes,R,"105,136","117,243",0,47.3%,52.7%,0.0%,-5.4%,-9.3%,3.9%,"243,929",91.2%,x
California,23,R+14,Kevin McCarthy,R,"74,661","131,113",0,36.3%,63.7%,0.0%,-27.4%,-21.9%,-5.5%,"246,632",83.4%,x
California,24,D+7,Salud Carbajal,D,"166,550","117,881",0,58.6%,41.4%,0.0%,17.1%,19.9%,-2.8%,"316,384",89.9%,x
California,25,EVEN,Katie Hill,D,"133,209","111,813",0,54.4%,45.6%,0.0%,8.7%,6.6%,2.1%,"274,459",89.3%,x
California,26,D+7,Julia Brownley,D,"158,216","97,210",0,61.9%,38.1%,0.0%,23.9%,21.4%,2.5%,"298,769",85.5%,x
California,27,D+16,Judy Chu,D,"202,636",0,0,100.0%,0.0%,0.0%,100.0%,37.6%,N/A,"264,466",76.6%,x
California,28,D+23,Adam Schiff,D,"196,662","54,272",0,78.4%,21.6%,0.0%,56.7%,49.8%,6.9%,"289,254",86.8%,x
