District,State,Representative,Age_0_to_17_with_Pre-existing_Condition,Age_18_to_24_with_Pre-existing_Condition,Age_25_to_34_with_Pre-existing_Condition,Age_35_to_44_with_Pre-existing_Condition,Age_45_to_54_with_Pre-existing_Condition,Age_55_to_64_with_Pre-existing_Condition,Nonelderly_with_Pre-existing_Condition,Percent_of_Nonelderly_with_Pre-existing_Condition,Nonelderly_with_Pre_existing_Condition,rep_party_2012,GOP2012_percent,DEM2012_percent,GOP_margin_2012,winning_party_2012,rep_party_2014,GOP2014_percent,DEM2014_percent,GOP_margin_2014,open_seat_2014,winning_party_2014,rep_party_2016,GOP2016_percent,DEM2016_percent,GOP_margin_2016,winning_party_2016,rep_party_2018,GOP2018_percent,DEM2018_percent,GOP_margin_2018,winning_party_2018,COOK_PVI,Pct_white,Pct_black,Pct_latino,Pct_asian_and_pacific_islander,Pct_native_american,Pct_other_race,Percent_bach_degree ,Percent_whiteBA,median_income,Percent_noncollege_white,PRES_GOP_MARGIN_2016,PRES_GOP_MARGIN_2012,PRES_GOP_MARGIN_2008,CITYLAB_CDI
AL-1,Alabama,Bradley Byrne,39200,22300,40700,49700,63500,65100,"280,500",50.0,280500,D,100.0,0,100,R,R,68.2,31.7,36.5,,R,R,96.4,0.0,96.4,R,GOP,63.3,36.7,26.6,R,15,68.7,26.5,1.8,0.9,1.0,1.1,24.0,27.7,47083,49.6,29.42,24.45,22.48,Rural-suburban mix
AL-2,Alabama,Martha Roby,38200,23700,41600,48900,61200,62100,"275,700",50.0,275700,R,63.7,36.3,27.4,R,R,67.3,32.6,34.7,,R,R,48.8,40.5,8.3,R,GOP,61.5,38.5,23.0,R,16,66.1,29.9,1.8,0.7,0.4,1.1,21.8,24.2,42035,50.1,31.93,26.47,29.46,Pure rural
AL-3,Alabama,Mike Rogers,37400,29200,38500,50200,63400,64000,"282,700",50.0,282700,R,64.1,35.9,28.2,R,R,66.1,33.7,32.4,,R,R,66.9,32.9,34.0,R,GOP,63.8,36.2,27.6,R,16,71.4,25.1,1.7,0.7,0.3,0.9,22.8,23.7,46544,54.4,32.96,25.48,25.97,Pure rural
AL-4,Alabama,Robert Aderholt,37800,19900,36900,48600,61400,63900,"268,500",50.0,268500,R,74.1,25.9,48.2,R,R,98.6,0,98.6,,R,R,98.5,0.0,98.5,R,GOP,79.9,20.1,59.8,R,30,88.8,6.9,1.8,0.5,0.7,1.3,17.0,17.8,41110,73.0,62.92,50.86,47.77,Pure rural
AL-5,Alabama,Mo Brooks,37600,23900,40600,50000,74100,69800,"296,000",51.0,296000,R,65.0,35,30,R,R,74.4,0,74.4,,R,R,66.7,33.2,33.5,R,GOP,61.1,38.9,22.2,R,18,77.3,17.1,2.2,1.1,0.6,1.6,30.3,31.0,51690,53.3,33.37,29.02,26.23,Rural-suburban mix
AL-6,Alabama,Gary Palmer,39600,21000,41100,55900,68300,67200,"293,000",51.0,293000,D,71.3,28.7,42.6,R,R,76.2,23.7,52.5,,R,R,74.5,25.4,49.1,R,GOP,69.3,30.7,38.6,R,26,81.8,14.4,1.6,1.0,0.2,0.9,36.7,38.2,61413,50.5,44.68,49.64,49.1,Rural-suburban mix
AL-7,Alabama,Terri Sewell,35200,30700,41800,44800,51800,59200,"263,400",49.0,263400,D,24.1,75.9,-51.8,D,D,0.0,98.4,-98.4,,D,D,0.0,98.4,-98.4,D,DEM,0.0,100.0,-100.0,D,20,35.6,62.1,1.1,0.4,0.1,0.8,19.4,28.5,34664,25.4,-41.15,-45.29,-43.35,Rural-suburban mix
AK-AL,Alaska,Don Young,44600,30200,54200,53400,67900,76200,"326,400",50.0,326400,R,69.1,30.9,38.2,R,R,51.0,41,10,,R,R,50.3,36.0,14.3,R,GOP,54.0,46.0,8.0,R,9,67.9,3.1,5.4,5.0,13.0,5.6,29.6,36.7,76440,42.9,15.17,14.12,21.65,Pure rural
AZ-1,Arizona,Tom O'Halleran,44300,29800,43400,52700,58400,71100,"299,700",49.0,299700,Open Post-Redistrict,48.1,51.9,-3.8,D,D,47.4,52.6,-5.2,,D,Open-Used to be Dem,43.4,50.7,-7.3,D,DEM,46.2,53.8,-7.6,D,2,56.1,2.2,17.1,1.3,21.8,1.6,24.5,34.2,50537,36.8,1.07,2.52,3.16,Pure rural
AZ-2,Arizona,Ann Kirkpatrick,33900,27000,39300,43800,61700,74600,"280,300",51.0,280300,D,49.6,50.4,-0.8,D,D,50.0,49.9,0.1,,R,R,57.0,43.0,14.0,R,DEM,45.6,54.4,-8.8,D,1,70.0,3.6,21.1,2.5,0.9,1.8,34.0,38.8,49072,42.8,-4.9,1.56,0.93,Dense suburban
AZ-3,Arizona,Raul Grijalva,49600,35300,50800,55000,62900,55800,"309,400",47.0,309400,D,38.9,61.1,-22.2,D,D,44.2,55.7,-11.5,,D,D,0.0,88.1,-88.1,D,DEM,36.6,63.4,-26.8,D,-13,37.5,5.0,51.1,1.7,3.5,1.3,16.5,26.9,44224,27.3,-29.92,-24.5,-17.45,Dense suburban
AZ-4,Arizona,Paul Gosar,34400,19000,33300,44000,62700,80400,"273,800",53.0,273800,R,70.2,29.8,40.4,R,R,70.0,25.8,44.2,,R,R,71.5,28.5,43.0,R,GOP,69.5,30.5,39.0,R,21,81.8,1.7,12.6,1.1,1.5,1.4,19.2,20.5,49466,64.9,40.15,36.18,29.8,Rural-suburban mix
AZ-5,Arizona,Andy Biggs,49000,22900,41800,62800,77500,73200,"327,200",50.0,327200,Open Post-Redistrict,67.2,32.8,34.4,R,R,69.6,30.4,39.2,,R,Open-Used to be GOP,64.1,35.9,28.2,R,GOP,59.4,40.6,18.8,R,15,78.0,2.9,13.3,3.7,0.8,1.4,36.0,37.5,71693,48.7,21.12,29.21,26.35,Dense suburban
AZ-6,Arizona,David Schweikert,36700,20400,45100,55600,79000,76900,"313,600",53.0,313600,R,64.8,35.2,29.6,R,R,64.9,35.1,29.8,,R,R,62.1,37.9,24.2,R,GOP,55.3,44.7,10.6,R,9,81.4,2.5,10.3,3.0,1.4,1.4,45.4,48.5,67830,41.9,9.98,20.7,16.53,Dense suburban
AZ-7,Arizona,Ruben Gallego,55700,32300,56600,62300,60300,48800,"316,000",46.0,316000,D,0.0,100,-100,D,Open-Used to be Dem,0.0,74.9,-74.9,,D,D,24.7,75.2,-50.5,D,DEM,14.3,85.7,-71.4,D,-23,33.9,12.1,47.1,2.5,2.9,1.4,14.0,26.5,40991,24.9,-49.1,-45.19,-30.63,Urban-suburban mix
AZ-8,Arizona,Debbie Lesko,42100,22000,40300,53000,71500,72100,"301,100",51.0,301100,R,64.4,35.6,28.8,R,R,75.8,0,75.8,,R,R,68.5,0.0,68.5,R,GOP,55.6,44.4,11.2,R,13,76.2,4.2,14.6,2.7,0.7,1.5,29.4,31.3,61754,52.3,21.13,24.81,22.18,Dense suburban
AZ-9,Arizona,Greg Stanton,40600,36500,63700,60700,73500,67200,"342,100",50.0,342100,Open Post-Redistrict,47.8,52.2,-4.4,D,D,41.9,54.7,-12.8,,D,D,39.0,60.9,-21.9,D,DEM,39.1,60.9,-21.8,D,-4,67.9,5.3,18.7,3.6,2.7,1.9,37.5,44.7,55349,37.4,-16.22,-4.53,-3.89,Urban-suburban mix
AR-1,Arkansas,Rick Crawford,39900,22300,39700,51100,63500,64600,"281,100",50.0,281100,R,59.0,41,18,R,R,63.3,32.4,30.9,,R,R,76.3,0.0,76.3,R,GOP,71.3,28.7,42.6,R,17,79.6,16.9,1.8,0.3,0.4,1.1,16.5,17.6,40492,65.6,34.81,24.64,18.79,Pure rural
AR-2,Arkansas,French Hill,42700,27700,48500,54500,67900,65900,"307,200",50.0,307200,R,58.3,41.7,16.6,R,Open-Used to be GOP,51.9,43.6,8.3,,R,R,58.3,36.8,21.5,R,GOP,54.2,45.8,8.4,R,7,73.7,21.2,2.4,1.0,0.3,1.4,30.0,32.5,49498,49.7,10.72,11.83,9.49,Rural-suburban mix
AR-3,Arkansas,Steve Womack,47000,30500,50000,55100,67300,64600,"314,500",49.0,314500,R,100.0,0,100,R,R,79.4,0,79.4,,R,R,77.3,0.0,77.3,R,GOP,67.5,32.5,35.0,R,19,86.2,2.9,5.9,1.9,1.1,2.0,26.9,28.8,47903,61.3,31.43,33.88,29.99,Rural-suburban mix
AR-4,Arkansas,Bruce Westerman,39000,23400,34700,45900,64700,67000,"274,700",50.0,274700,Open Post-Redistrict,61.9,38.1,23.8,R,Open-Used to be GOP,53.7,42.6,11.1,,R,R,74.9,0.0,74.9,R,GOP,68.7,31.3,37.4,R,17,76.5,19.1,2.2,0.4,0.6,1.2,15.8,17.0,39586,63.4,32.83,25.95,22.54,Pure rural
CA-1,California,Doug LaMalfa,34100,25500,38300,41300,59900,79300,"278,500",52.0,278500,Open Post-Redistrict,57.4,42.6,14.8,R,R,61.0,39,22,,R,R,59.1,40.9,18.2,R,GOP,55.4,44.6,10.8,R,11,82.7,1.5,9.4,2.2,1.5,2.7,23.7,25.7,47488,61.4,19.63,16.29,11.2,Rural-suburban mix
CA-2,California,Jared Huffman,34200,22300,36600,51400,72400,84300,"301,300",53.0,301300,Open Post-Redistrict,28.8,71.2,-42.4,D,D,25.0,75,-50,,D,D,23.1,76.9,-53.8,D,DEM,23.9,76.1,-52.2,D,-22,80.6,1.6,9.7,3.4,1.8,2.9,40.8,45.9,66604,43.5,-45.69,-42.08,-46.0,Rural-suburban mix
CA-3,California,John Garamendi,42300,33200,46200,50500,65300,65500,"303,100",49.0,303100,D,45.8,54.2,-8.4,D,D,47.3,52.7,-5.4,,D,D,40.6,59.4,-18.8,D,DEM,42.6,57.4,-14.8,D,-5,58.8,6.8,19.6,10.5,0.8,3.5,25.1,28.5,61508,41.9,-12.6,-11.21,-12.6,Rural-suburban mix
CA-4,California,Tom McClintock,34700,20400,33900,49200,74400,83500,"296,100",53.0,296100,R,61.1,38.9,22.2,R,R,100.0,0,100,,R,R,62.7,37.3,25.4,R,GOP,54.8,45.2,9.6,R,10,82.3,1.3,9.1,4.0,0.9,2.4,33.3,33.7,74074,54.5,14.75,18.34,11.3,Rural-suburban mix
CA-5,California,Mike Thompson,36700,24200,45300,52100,70100,78900,"307,400",52.0,307400,D,25.5,74.5,-49,D,D,0.0,75.7,-75.7,,D,D,23.1,76.9,-53.8,D,DEM,21.7,78.3,-56.6,D,-21,61.8,6.6,16.8,11.0,0.5,3.3,31.2,37.5,73006,38.5,-44.87,-42.29,-44.2,Dense suburban
CA-6,California,Doris Matsui,44800,26900,58500,56400,62000,61000,"309,500",49.0,309500,D,24.9,75.1,-50.2,D,D,27.3,72.7,-45.4,,D,D,24.6,75.4,-50.8,D,DEM,19.1,80.9,-61.8,D,-21,46.3,13.6,20.2,15.8,0.5,3.7,27.5,36.6,51932,29.2,-44.75,-40.86,-38.3,Urban-suburban mix
CA-7,California,Ami Bera,40400,23200,46700,54800,75600,75600,"316,200",51.0,316200,R,48.3,51.7,-3.4,D,D,49.6,50.4,-0.8,,D,D,48.8,51.2,-2.4,D,DEM,45.7,54.3,-8.6,D,-3,61.6,7.6,13.0,13.7,0.5,3.5,32.9,34.1,68735,40.5,-11.45,-3.94,-5.5,Dense suburban
CA-8,California,Paul Cook,46100,27600,43400,44500,63900,64400,"289,900",48.0,289900,Open Post-Redistrict,100.0,0,100,R,R,67.6,32.4,35.2,,R,R,62.3,37.7,24.6,R,GOP,60.2,39.8,20.4,R,9,56.2,8.0,29.8,3.1,0.9,1.9,17.1,20.6,49194,44.5,15.13,13.97,13.2,Rural-suburban mix
CA-9,California,Jerry McNerney,48800,27800,46700,53400,69900,61200,"307,800",48.0,307800,D,44.4,55.6,-11.2,D,D,47.6,52.4,-4.8,,D,D,42.6,57.4,-14.8,D,DEM,44.6,55.4,-10.8,D,-8,45.7,9.7,27.3,13.9,0.4,3.0,19.1,24.4,61454,34.4,-18.57,-17.71,-15.5,Dense suburban
CA-10,California,Josh Harder,48000,26900,45000,55600,71400,64200,"311,200",49.0,311200,R,52.7,47.3,5.4,R,R,56.1,43.9,12.2,,R,R,51.7,48.3,3.4,R,DEM,48.7,51.3,-2.6,D,0,55.6,3.5,30.8,6.8,0.5,2.8,16.6,21.0,60235,43.8,-3.0,-3.61,-2.7,Dense suburban
CA-11,California,Mark DeSaulnier,40200,23500,45300,56300,79000,79700,"323,900",52.0,323900,D,30.3,69.7,-39.4,D,Open-Used to be Dem,32.7,67.3,-34.6,,D,D,27.9,72.1,-44.2,D,DEM,26.8,73.2,-46.4,D,-21,57.6,9.5,16.0,13.3,0.3,3.4,43.6,56.5,86000,25.0,-48.85,-37.68,-40.4,Urban-suburban mix
CA-12,California,Nancy Pelosi,23500,18000,82700,71300,75000,67700,"338,300",54.0,338300,D,14.9,85.1,-70.2,D,D,16.7,83.3,-66.6,,D,D,0.0,80.9,-80.9,D,DEM,13.2,86.8,-73.6,D,-37,49.5,5.7,11.0,30.7,0.2,3.0,59.5,78.1,105918,10.8,-77.5,-71.62,-71.0,Pure urban
CA-13,California,Barbara Lee,34200,28600,62000,64500,73500,67400,"330,200",51.0,330200,D,0.0,100,-100,D,D,11.5,88.5,-77,,D,D,9.2,90.8,-81.6,D,DEM,11.6,88.4,-76.8,D,-40,42.0,19.8,13.6,20.2,0.4,3.9,47.2,70.8,73601,12.2,-80.55,-78.55,-77.2,Pure urban
CA-14,California,Jackie Speier,36000,23900,51900,63100,78100,80300,"333,200",53.0,333200,D,21.1,78.9,-57.8,D,D,23.3,76.7,-53.4,,D,D,19.1,80.9,-61.8,D,DEM,22.5,77.5,-55.0,D,-27,42.9,3.6,17.3,33.2,0.2,2.7,47.5,56.9,103850,18.4,-58.7,-50.67,-49.8,Urban-suburban mix
