District,State_x,Representative,Age_0_to_17_with_Pre-existing_Condition,Age_18_to_24_with_Pre-existing_Condition,Age_25_to_34_with_Pre-existing_Condition,Age_35_to_44_with_Pre-existing_Condition,Age_45_to_54_with_Pre-existing_Condition,Age_55_to_64_with_Pre-existing_Condition,Nonelderly_with_Pre-existing_Condition,Percent_of_Nonelderly_with_Pre-existing_Condition,Nonelderly_with_Pre_existing_Condition,State_Abbreviation,CD#,2018_Cook_PVI_Score,Party,flipped_seat,Dem_Votes_2018,GOP_Votes_2018,Other_Votes_2018,Dem_2018_Vote_Share,GOP_2018_Vote_Share,Clinton_Vote_Share,Trump_Vote_Share,City_Lab_Congressional_Index,2018_Cook_PVI_Index,Pct_white,Pct_black,Pct_latino,Pct_asian_and_pacific_islander,Pct_native_american,Pct_other_race,Percent_bach_degree ,Percent_whiteBA,median_income,Percent_noncollege_white
AL-1,Alabama,Bradley Byrne,39200,22300,40700,49700,63500,65100,"280,500",50.0,280500,AL,1,-15,R,No,"89,226","153,228",163,36.8,63.2,34.1,63.5,Rural-suburban mix,R+15,68.7,26.5,1.8,0.9,1.0,1.1,24.0,27.7,47083,49.6
AL-2,Alabama,Martha Roby,38200,23700,41600,48900,61200,62100,"275,700",50.0,275700,AL,2,-16,R,No,"86,931","138,879",420,38.4,61.4,33.0,64.9,Pure rural,R+16,66.1,29.9,1.8,0.7,0.4,1.1,21.8,24.2,42035,50.1
AL-3,Alabama,Mike Rogers,37400,29200,38500,50200,63400,64000,"282,700",50.0,282700,AL,3,-16,R,No,"83,996","147,770",149,36.2,63.7,32.3,65.3,Pure rural,R+16,71.4,25.1,1.7,0.7,0.3,0.9,22.8,23.7,46544,54.4
AL-4,Alabama,Robert Aderholt,37800,19900,36900,48600,61400,63900,"268,500",50.0,268500,AL,4,-30,R,No,"46,492","184,255",222,20.1,79.8,17.4,80.4,Pure rural,R+30,88.8,6.9,1.8,0.5,0.7,1.3,17.0,17.8,41110,73.0
AL-5,Alabama,Mo Brooks,37600,23900,40600,50000,74100,69800,"296,000",51.0,296000,AL,5,-18,R,No,"101,388","159,063",222,38.9,61.0,31.3,64.7,Rural-suburban mix,R+18,77.3,17.1,2.2,1.1,0.6,1.6,30.3,31.0,51690,53.3
AL-6,Alabama,Gary Palmer,39600,21000,41100,55900,68300,67200,"293,000",51.0,293000,AL,6,-26,R,No,"85,644","192,542",142,30.8,69.2,26.1,70.8,Rural-suburban mix,R+26,81.8,14.4,1.6,1.0,0.2,0.9,36.7,38.2,61413,50.5
AL-7,Alabama,Terri Sewell,35200,30700,41800,44800,51800,59200,"263,400",49.0,263400,AL,7,20,D,No,"185,010",0,"4,153",97.8,0.0,69.8,28.6,Rural-suburban mix,D+20,35.6,62.1,1.1,0.4,0.1,0.8,19.4,28.5,34664,25.4
AK-AL,Alaska,Don Young,44600,30200,54200,53400,67900,76200,"326,400",50.0,326400,AK,AL,-9,R,No,"131,199","149,779","1,188",46.5,53.1,37.6,52.8,Pure rural,R+9,67.9,3.1,5.4,5.0,13.0,5.6,29.6,36.7,76440,42.9
AZ-1,Arizona,Tom O'Halleran,44300,29800,43400,52700,58400,71100,"299,700",49.0,299700,AZ,1,-2,D,Yes (to Democrats),"143,240","122,784",65,53.8,46.1,46.6,47.7,Pure rural,R+2,56.1,2.2,17.1,1.3,21.8,1.6,24.5,34.2,50537,36.8
AZ-2,Arizona,Ann Kirkpatrick,33900,27000,39300,43800,61700,74600,"280,300",51.0,280300,AZ,2,-1,D,Yes (to Democrats),"161,000","133,083",69,54.7,45.2,49.6,44.7,Dense suburban,R+1,70.0,3.6,21.1,2.5,0.9,1.8,34.0,38.8,49072,42.8
