District,rep_party_2012,GOP2012,DEM2012,GOP_spend_dif_2012,GOP2012_percent,DEM2012_percent,GOP_margin_2012,open_seat_2012,winning_party_2012,rep_party_2014,GOP2014,DEM2014,GOP_spend_dif_2014,GOP2014_percent,DEM2014_percent,GOP_margin_2014,open_seat_2014,winning_party_2014,rep_party_2016,GOP2016,DEM2016,GOP_spend_dif_2016,GOP2016_percent,DEM2016_percent,GOP_margin_2016,open_seat_2016,winning_party_2016,rep_party_2018,GOP2018,DEM2018,GOP_spend_dif_2018,GOP2018_percent,DEM2018_percent,GOP_margin_2018,open_seat_2018,winning_party_2018,COOK_PVI,white,black,latino,asian and pacific island,native,other,bach degree or higher among 25up,whiteBA,median_income,noncollege_white,PRES_GOP_MARGIN_2016,PRES_GOP_MARGIN_2012,PRES_GOP_MARGIN_2008,CITYLAB_CDI
AL1,D,0,0,0,100,0,100,,R,R,1658239.6,35603,1622636.6,68.2,31.7,36.5,,R,R,0,0,0,96.4,0,96.4,,R,GOP,783860,43063,740797,63.3,36.7,26.6,0,R,15,68.7,26.5,1.8,0.9,1,1.1,24,27.7,47083,49.6,29.42,24.45,22.48,Rural-suburban mix
AL2,R,862874.48,19640,843234.48,63.7,36.3,27.4,,R,R,793565.21,0,793565.21,67.3,32.6,34.7,,R,R,1850535.64,36844,1813691.64,48.8,40.5,8.3,,R,GOP,220968,512108,-291140,61.5,38.5,23,0,R,16,66.1,29.9,1.8,0.7,0.4,1.1,21.8,24.2,42035,50.1,31.93,26.47,29.46,Pure rural
AL3,R,982102.34,4847.71,977254.63,64.1,35.9,28.2,,R,R,941431.5,9000,932431.5,66.1,33.7,32.4,,R,R,1071289.42,7348,1063941.42,66.9,32.9,34,,R,GOP,1292402,428949,863453,63.8,36.2,27.6,0,R,16,71.4,25.1,1.7,0.7,0.3,0.9,22.8,23.7,46544,54.4,32.96,25.48,25.97,Pure rural
AL4,R,1140896.88,5575,1135321.88,74.1,25.9,48.2,,R,R,0,0,0,98.6,0,98.6,,R,R,1394461.23,0,1394461.23,98.5,0,98.5,,R,GOP,1273164,77552,1195612,79.9,20.1,59.8,0,R,30,88.8,6.9,1.8,0.5,0.7,1.3,17,17.8,41110,73,62.92,50.86,47.77,Pure rural
AL5,R,455514.82,56123.8,399391.02,65,35,30,,R,R,0,0,0,74.4,0,74.4,,R,R,119723.76,61251.11,58472.65,66.7,33.2,33.5,,R,GOP,1981632,563818,1417814,61.1,38.9,22.2,0,R,18,77.3,17.1,2.2,1.1,0.6,1.6,30.3,31,51690,53.3,33.37,29.02,26.23,Rural-suburban mix
AL6,D,2904500.84,50433,2854067.84,71.3,28.7,42.6,,R,R,1690309.21,165464.66,1524844.55,76.2,23.7,52.5,,R,R,769978.37,197378.52,572599.85,74.5,25.4,49.1,,R,GOP,1440947,287397,1153550,69.3,30.7,38.6,0,R,26,81.8,14.4,1.6,1,0.2,0.9,36.7,38.2,61413,50.5,44.68,49.64,49.1,Rural-suburban mix
AL7,D,22263.32,863803.98,-841540.66,24.1,75.9,-51.8,,D,D,0,0,0,0,98.4,-98.4,,D,D,0,0,0,0,98.4,-98.4,,D,DEM,0,1114412,-1114412,0,100,-100,0,D,20,35.6,62.1,1.1,0.4,0.1,0.8,19.4,28.5,34664,25.4,-41.15,-45.29,-43.35,Rural-suburban mix
AKAL,R,665974.39,24388,641586.39,69.1,30.9,38.2,,R,R,809039.2,230088.83,578950.37,51,41,10,,R,R,1322055.12,1098098.09,223957.03,50.3,36,14.3,,R,GOP,1428188.36,1895415.87,-467227.51,54,46,8,0,R,9,67.9,3.1,5.4,5,13,5.6,29.6,36.7,76440,42.9,15.17,14.12,21.65,Pure rural
AZ1,Open Post-Redistrict,5251474.36,4983575.45,267898.91,48.1,51.9,-3.8,,D,D,7428427.21,8370537.56,-942110.35,47.4,52.6,-5.2,,D,Open-Used to be Dem,1329657.68,4285885.07,-2956227.39,43.4,50.7,-7.3,,D,DEM,1890558.23,5666806.84,-3776248.61,46.2,53.8,-7.6,0,D,2,56.1,2.2,17.1,1.3,21.8,1.6,24.5,34.2,50537,36.8,1.07,2.52,3.16,Pure rural
AZ2,D,2413099.71,3516532.19,-1103432.48,49.6,50.4,-0.8,,D,D,10058846.94,8610362.45,1448484.49,50,49.9,0.1,,R,R,8722187.35,1644037.25,7078150.1,57,43,14,,R,DEM,2564005.62,7001373.57,-4437367.95,45.6,54.4,-8.8,0,D,1,70,3.6,21.1,2.5,0.9,1.8,34,38.8,49072,42.8,-4.9,1.56,0.93,Dense suburban
AZ3,D,230285.18,930949.81,-700664.63,38.9,61.1,-22.2,,D,D,103441.35,561116.42,-457675.07,44.2,55.7,-11.5,,D,D,0,0,0,0,88.1,-88.1,,D,DEM,70741,699848.91,-629107.91,36.6,63.4,-26.8,0,D,-13,37.5,5,51.1,1.7,3.5,1.3,16.5,26.9,44224,27.3,-29.92,-24.5,-17.45,Dense suburban
AZ4,R,1126650.26,3440,1123210.26,70.2,29.8,40.4,,R,R,401796.79,38071.77,363725.02,70,25.8,44.2,,R,R,729867.46,35258.96,694608.5,71.5,28.5,43,,R,GOP,519490.81,398958.5,120532.31,69.5,30.5,39,0,R,21,81.8,1.7,12.6,1.1,1.5,1.4,19.2,20.5,49466,64.9,40.15,36.18,29.8,Rural-suburban mix
AZ5,Open Post-Redistrict,1197809.99,0,1197809.99,67.2,32.8,34.4,,R,R,578157.16,56749.88,521407.28,69.6,30.4,39.2,,R,Open-Used to be GOP,957480.35,18649.88,938830.47,64.1,35.9,28.2,,R,GOP,373089.83,186755,186334.83,59.4,40.6,18.8,0,R,15,78,2.9,13.3,3.7,0.8,1.4,36,37.5,71693,48.7,21.12,29.21,26.35,Dense suburban
AZ6,R,1970187.28,37889.51,1932297.77,64.8,35.2,29.6,,R,R,1119893.85,10370.25,1109523.6,64.9,35.1,29.8,,R,R,806820.62,6623.91,800196.71,62.1,37.9,24.2,,R,GOP,1616570.61,424603.94,1191966.67,55.3,44.7,10.6,0,R,9,81.4,2.5,10.3,3,1.4,1.4,45.4,48.5,67830,41.9,9.98,20.7,16.53,Dense suburban
AZ7,D,0,1118,-1118,0,100,-100,,D,Open-Used to be Dem,0,0,0,0,74.9,-74.9,,D,D,32120.36,734379.24,-702258.88,24.7,75.2,-50.5,,D,DEM,0,932821.33,-932821.33,14.3,85.7,-71.4,0,D,-23,33.9,12.1,47.1,2.5,2.9,1.4,14,26.5,40991,24.9,-49.1,-45.19,-30.63,Urban-suburban mix
AZ8,R,399105.03,8848,390257.03,64.4,35.6,28.8,,R,R,0,0,0,75.8,0,75.8,,R,R,0,0,0,68.5,0,68.5,,R,GOP,920845.44,2569429.01,-1648583.57,55.6,44.4,11.2,1,R,13,76.2,4.2,14.6,2.7,0.7,1.5,29.4,31.3,61754,52.3,21.13,24.81,22.18,Dense suburban
AZ9,Open Post-Redistrict,4013726.83,4693251.84,-679525.01,47.8,52.2,-4.4,,D,D,1376116.64,4546909.4,-3170792.76,41.9,54.7,-12.8,,D,D,273744.04,2488590.77,-2214846.73,39,60.9,-21.9,,D,DEM,2528752.87,2400879.39,127873.48,39.1,60.9,-21.8,1,D,-4,67.9,5.3,18.7,3.6,2.7,1.9,37.5,44.7,55349,37.4,-16.22,-4.53,-3.89,Urban-suburban mix
AR1,R,1274636.11,370676.52,903959.59,59,41,18,,R,R,665075.08,279780.51,385294.57,63.3,32.4,30.9,,R,R,0,0,0,76.3,0,76.3,,R,GOP,953344,137153,816191,71.3,28.7,42.6,0,R,17,79.6,16.9,1.8,0.3,0.4,1.1,16.5,17.6,40492,65.6,34.81,24.64,18.79,Pure rural
