District,State,State_Abbreviation,CD#,CD,2018_Cook_PVI_Score,2018_Winner,Party,flipped_seat,Dem_Votes_2018,GOP_Votes_2018,Other_Votes_2018,Dem_2018_Vote_Share,GOP_2018_Vote_Share,Clinton_Vote_Share,Trump_Vote_Share,City_Lab_Congressional_Index,2018_Cook_PVI_Score_intg,2018_Cook_PVI_Index,Pct_white,Pct_black,Pct_latino,Pct_asian_and_pacific_islander,Pct_native_american,Pct_other_race,Percent_bach_degree ,Percent_whiteBA,median_income,Percent_noncollege_white
AKAL,Alaska,AK,AL,AK-AL,-9,Don Young,R,No,"131,199","149,779","1,188",46.50,53.10,37.6,52.8,Pure rural,-9,R+9,67.9,3.1,5.4,5,13,5.6,29.6,36.7,76440,42.9
AL1,Alabama,AL,1,AL-1,-15,Bradley Byrne,R,No,"89,226","153,228",163,36.80,63.20,34.1,63.5,Rural-suburban mix,-15,R+15,68.7,26.5,1.8,0.9,1,1.1,24,27.7,47083,49.6
AL2,Alabama,AL,2,AL-2,-16,Martha Roby,R,No,"86,931","138,879",420,38.40,61.40,33,64.9,Pure rural,-16,R+16,66.1,29.9,1.8,0.7,0.4,1.1,21.8,24.2,42035,50.1
AL3,Alabama,AL,3,AL-3,-16,Mike Rogers,R,No,"83,996","147,770",149,36.20,63.70,32.3,65.3,Pure rural,-16,R+16,71.4,25.1,1.7,0.7,0.3,0.9,22.8,23.7,46544,54.4
AL4,Alabama,AL,4,AL-4,-30,Robert Aderholt,R,No,"46,492","184,255",222,20.10,79.80,17.4,80.4,Pure rural,-30,R+30,88.8,6.9,1.8,0.5,0.7,1.3,17,17.8,41110,73
AL5,Alabama,AL,5,AL-5,-18,Mo Brooks,R,No,"101,388","159,063",222,38.90,61.00,31.3,64.7,Rural-suburban mix,-18,R+18,77.3,17.1,2.2,1.1,0.6,1.6,30.3,31,51690,53.3
AL6,Alabama,AL,6,AL-6,-26,Gary Palmer,R,No,"85,644","192,542",142,30.80,69.20,26.1,70.8,Rural-suburban mix,-26,R+26,81.8,14.4,1.6,1,0.2,0.9,36.7,38.2,61413,50.5
AL7,Alabama,AL,7,AL-7,20,Terri Sewell,D,No,"185,010",0,"4,153",97.80,0.00,69.8,28.6,Rural-suburban mix,20,D+20,35.6,62.1,1.1,0.4,0.1,0.8,19.4,28.5,34664,25.4
AR1,Arkansas,AR,1,AR-1,-17,Rick Crawford,R,No,"57,907","138,757","4,581",28.80,68.90,30.2,65,Pure rural,-17,R+17,79.6,16.9,1.8,0.3,0.4,1.1,16.5,17.6,40492,65.6
AR2,Arkansas,AR,2,AR-2,-7,French Hill,R,No,"116,135","132,125","5,193",45.80,52.10,41.7,52.4,Rural-suburban mix,-7,R+7,73.7,21.2,2.4,1,0.3,1.4,30,32.5,49498,49.7
AR3,Arkansas,AR,3,AR-3,-19,Steve Womack,R,No,"74,952","148,717","6,039",32.60,64.70,30.5,61.9,Rural-suburban mix,-19,R+19,86.2,2.9,5.9,1.9,1.1,2,26.9,28.8,47903,61.3
AR4,Arkansas,AR,4,AR-4,-17,Bruce Westerman,R,No,"63,984","136,740","4,168",31.20,66.70,31.3,64.2,Pure rural,-17,R+17,76.5,19.1,2.2,0.4,0.6,1.2,15.8,17,39586,63.4
AZ1,Arizona,AZ,1,AZ-1,-2,Tom O'Halleran,D,Yes (to Democrats),"143,240","122,784",65,53.80,46.10,46.6,47.7,Pure rural,-2,R+2,56.1,2.2,17.1,1.3,21.8,1.6,24.5,34.2,50537,36.8
AZ2,Arizona,AZ,2,AZ-2,-1,Ann Kirkpatrick,D,Yes (to Democrats),"161,000","133,083",69,54.70,45.20,49.6,44.7,Dense suburban,-1,R+1,70,3.6,21.1,2.5,0.9,1.8,34,38.8,49072,42.8
AZ3,Arizona,AZ,3,AZ-3,13,Raul Grijalva,D,No,"114,650","64,868",0,63.90,36.10,62.4,32.5,Dense suburban,13,D+13,37.5,5,51.1,1.7,3.5,1.3,16.5,26.9,44224,27.3
AZ4,Arizona,AZ,4,AZ-4,-21,Paul Gosar,R,No,"84,521","188,842","3,672",30.50,68.20,27.5,67.7,Rural-suburban mix,-21,R+21,81.8,1.7,12.6,1.1,1.5,1.4,19.2,20.5,49466,64.9
AZ5,Arizona,AZ,5,AZ-5,-15,Andy Biggs,R,No,"127,027","186,037",0,40.60,59.40,36.5,57.6,Dense suburban,-15,R+15,78,2.9,13.3,3.7,0.8,1.4,36,37.5,71693,48.7
AZ6,Arizona,AZ,6,AZ-6,-9,David Schweikert,R,No,"140,559","173,140",0,44.80,55.20,42.4,52.4,Dense suburban,-9,R+9,81.4,2.5,10.3,3,1.4,1.4,45.4,48.5,67830,41.9
AZ7,Arizona,AZ,7,AZ-7,23,Ruben Gallego,D,No,"113,044",301,"18,706",85.60,0.20,71.8,22.6,Urban-suburban mix,23,D+23,33.9,12.1,47.1,2.5,2.9,1.4,14,26.5,40991,24.9
AZ8,Arizona,AZ,8,AZ-8,-13,Debbie Lesko,R,No,"135,569","168,835",13,44.50,55.50,37,58.1,Dense suburban,-13,R+13,76.2,4.2,14.6,2.7,0.7,1.5,29.4,31.3,61754,52.3
AZ9,Arizona,AZ,9,AZ-9,4,Greg Stanton,D,No,"159,583","101,662",0,61.10,38.90,54.7,38.4,Urban-suburban mix,4,D+4,67.9,5.3,18.7,3.6,2.7,1.9,37.5,44.7,55349,37.4
CA1,California,CA,1,CA-1,-11,Doug LaMalfa,R,No,"131,548","160,046",0,45.10,54.90,36.5,56.2,Rural-suburban mix,-11,R+11,82.7,1.5,9.4,2.2,1.5,2.7,23.7,25.7,47488,61.4
CA2,California,CA,2,CA-2,22,Jared Huffman,D,No,"243,081","72,576",0,77.00,23.00,69,23.3,Rural-suburban mix,22,D+22,80.6,1.6,9.7,3.4,1.8,2.9,40.8,45.9,66604,43.5
CA3,California,CA,3,CA-3,5,John Garamendi,D,No,"134,875","97,376",0,58.10,41.90,53,40.4,Rural-suburban mix,5,D+5,58.8,6.8,19.6,10.5,0.8,3.5,25.1,28.5,61508,41.9
CA4,California,CA,4,CA-4,-10,Tom McClintock,R,No,"156,253","184,401",0,45.90,54.10,39.3,54,Rural-suburban mix,-10,R+10,82.3,1.3,9.1,4,0.9,2.4,33.3,33.7,74074,54.5
CA5,California,CA,5,CA-5,21,Mike Thompson,D,No,"205,860",0,"55,158",78.90,0.00,69.2,24.3,Dense suburban,21,D+21,61.8,6.6,16.8,11,0.5,3.3,31.2,37.5,73006,38.5
CA6,California,CA,6,CA-6,21,Doris Matsui,D,No,"201,939",0,0,100.00,0.00,69.2,24.4,Urban-suburban mix,21,D+21,46.3,13.6,20.2,15.8,0.5,3.7,27.5,36.6,51932,29.2
CA7,California,CA,7,CA-7,3,Ami Bera,D,No,"155,016","126,601",0,55.00,45.00,52.3,40.9,Dense suburban,3,D+3,61.6,7.6,13,13.7,0.5,3.5,32.9,34.1,68735,40.5
